x1	x2	class
25.39787696	22.68101339	1
20.91116191	14.02766269	1
17.54988778	21.55226746	1
20.86575912	17.82599905	1
18.12874228	17.69157414	1
24.45404099	19.60606049	1
22.99423856	20.000294	1
22.07967499	15.92499626	1
24.98850212	21.27251746	1
24.06982547	25.03300244	1
21.40674917	21.8035956	1
15.02370715	18.32455892	1
19.88561448	20.32624888	1
19.08171018	18.51818043	1
15.66489843	18.08497784	2
13.95024179	21.24628558	2
17.77543906	21.87435849	2
15.82644389	18.92675357	2
8.917451991	24.4341594	2
11.97020979	22.47832929	2
15.39914634	19.2598847	2
14.27258216	21.05907582	2
21.14725711	22.84794502	2
14.85945421	18.89797542	2
